INDEX,TARGET_FLAG,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
1562,1,0,52.0,0,10.0,83901.0,No,0.0,z_No,M,Masters,z_Blue Collar,43,Commercial,23650.0,6,Panel Truck,yes,0.0,0,No,5,9.0,Highly Urban/ Urban
1563,1,0,40.0,3,13.0,44431.0,No,178105.0,Yes,z_F,z_High School,Clerical,47,Private,12460.0,1,z_SUV,no,0.0,0,No,1,6.0,z_Highly Rural/ Rural
1565,0,0,36.0,0,12.0,44977.0,No,119567.0,Yes,M,z_High School,z_Blue Collar,36,Commercial,14780.0,4,Minivan,no,0.0,0,No,0,1.0,z_Highly Rural/ Rural
1566,0,0,39.0,0,12.0,71345.0,No,259414.0,Yes,z_F,Bachelors,z_Blue Collar,34,Commercial,29690.0,1,Pickup,no,0.0,0,No,0,12.0,z_Highly Rural/ Rural
1567,0,0,35.0,1,0.0,0.0,No,99767.0,Yes,z_F,z_High School,Home Maker,44,Private,16870.0,4,z_SUV,no,11353.0,1,No,2,1.0,Highly Urban/ Urban
1568,0,0,45.0,3,11.0,207123.0,Yes,488301.0,z_No,z_F,PhD,Lawyer,42,Private,27520.0,4,Pickup,no,0.0,0,No,0,5.0,Highly Urban/ Urban
1569,0,0,50.0,0,12.0,36622.0,No,154253.0,z_No,M,Bachelors,Manager,25,Private,22210.0,4,Minivan,no,0.0,0,No,0,8.0,Highly Urban/ Urban
1571,0,0,65.0,0,12.0,61898.0946086055,No,187397.0,Yes,M,Bachelors,z_Blue Collar,50,Commercial,18870.0,4,Minivan,yes,3357.0,4,No,4,10.0,Highly Urban/ Urban
1572,0,0,38.0,0,12.0,73664.0,No,0.0,z_No,z_F,Bachelors,z_Blue Collar,43,Commercial,13950.0,4,z_SUV,no,0.0,0,No,1,13.0,z_Highly Rural/ Rural
1573,0,0,36.0,0,8.0,68284.0,No,218441.0,Yes,z_F,PhD,Doctor,31,Private,8330.0,7,z_SUV,no,4891.0,1,No,0,10.0,Highly Urban/ Urban
1574,0,0,42.0,2,14.0,66183.0,No,192396.0,Yes,z_F,Bachelors,Professional,64,Private,5700.0,4,Sports Car,no,4761.0,3,No,1,9.0,Highly Urban/ Urban
1575,0,0,43.0,0,11.0,190991.0,No,529523.0,Yes,M,Masters,Manager,46,Commercial,20600.0,3,Van,no,0.0,0,No,2,18.0,Highly Urban/ Urban
1576,0,0,46.0,0,14.0,64800.0,No,221460.0,Yes,M,Bachelors,Professional,26,Private,12580.0,6,Minivan,no,0.0,0,No,2,11.0,Highly Urban/ Urban
1578,0,0,34.0,1,15.0,109200.0,No,306724.0,Yes,M,Masters,Lawyer,26,Private,17840.0,1,Van,yes,0.0,0,No,0,1.0,Highly Urban/ Urban
1579,0,0,33.0,2,13.0,19296.0,No,154867.2897232688,Yes,z_F,z_High School,Clerical,21,Private,12350.0,10,z_SUV,no,4931.0,2,No,4,1.0,Highly Urban/ Urban
1580,0,0,39.0,0,9.0,35366.0,No,166481.0,Yes,z_F,z_High School,Clerical,30,Private,1500.0,1,Sports Car,no,0.0,0,No,0,9.0,z_Highly Rural/ Rural
1581,0,0,48.0,0,8.0,103751.0,No,347956.0,Yes,z_F,PhD,Professional,24,Private,27950.0,6,Minivan,no,0.0,0,No,3,13.0,Highly Urban/ Urban
1582,0,0,41.0,0,11.0,98960.0,No,283545.0,z_No,M,Bachelors,Professional,32,Commercial,11400.0,7,Pickup,yes,0.0,0,No,0,13.0,Highly Urban/ Urban
1583,0,0,51.0,0,12.0,103029.0,No,0.0,z_No,M,Masters,Lawyer,37,Private,16900.0,5,Van,no,37667.0,2,Yes,1,13.0,Highly Urban/ Urban
1584,0,0,38.0,0,7.0,99207.0,No,303759.0,Yes,M,Bachelors,Professional,27,Private,17240.0,3,Minivan,yes,0.0,0,Yes,0,16.0,Highly Urban/ Urban
1586,1,0,42.0,0,13.0,58008.0,No,213887.0,Yes,M,z_High School,z_Blue Collar,54,Commercial,18610.0,1,Minivan,no,0.0,0,Yes,0,1.0,Highly Urban/ Urban
1587,0,0,47.0,0,6.0,101231.0,No,0.0,z_No,z_F,PhD,Doctor,38,Private,16320.0,8,z_SUV,no,13518.0,1,No,4,11.0,Highly Urban/ Urban
1588,0,0,42.0,2,0.0,0.0,No,0.0,Yes,z_F,<High School,Student,32,Private,5700.0,6,z_SUV,no,0.0,0,No,0,1.0,z_Highly Rural/ Rural
1589,1,0,61.0,0,14.0,65775.0,No,199244.0,Yes,M,Masters,Lawyer,57,Private,28170.0,4,Sports Car,yes,0.0,0,Yes,4,18.0,Highly Urban/ Urban
1591,0,0,37.0,0,7.0,27606.0,No,94925.0,z_No,M,z_High School,Manager,28,Private,8280.0,13,Pickup,yes,7278.0,1,No,0,1.0,Highly Urban/ Urban
1593,1,0,44.0,2,14.0,82068.0,No,215344.0,Yes,z_F,Bachelors,z_Blue Collar,26,Commercial,8980.0,1,z_SUV,no,4423.0,2,No,0,12.0,Highly Urban/ Urban
1595,0,0,34.0,3,13.0,9573.0,No,114949.0,Yes,M,Bachelors,Student,30,Commercial,3270.0,4,Minivan,yes,0.0,0,Yes,1,13.0,Highly Urban/ Urban
1597,0,0,53.0,0,9.0,43802.0,No,194653.0,z_No,M,Bachelors,z_Blue Collar,36,Commercial,12870.0,13,Minivan,yes,0.0,0,No,1,17.0,Highly Urban/ Urban
1599,1,0,28.0,1,9.0,61898.0946086055,Yes,0.0,z_No,z_F,z_High School,z_Blue Collar,32,Commercial,24560.0,7,z_SUV,no,20778.0,3,Yes,6,1.0,Highly Urban/ Urban
1600,0,0,43.0,0,10.0,31428.0,No,0.0,z_No,M,z_High School,Clerical,5,Private,5800.0,6,Pickup,yes,0.0,0,No,4,1.0,z_Highly Rural/ Rural
1601,1,0,35.0,0,10.0,70274.0,No,0.0,z_No,M,Masters,z_Blue Collar,32,Commercial,12030.0,10,Pickup,no,29205.0,3,Yes,0,13.0,Highly Urban/ Urban
1602,1,0,38.0,0,12.0,21119.0,No,136098.0,z_No,M,<High School,z_Blue Collar,24,Commercial,12180.0,10,Pickup,no,3252.0,3,No,4,4.0,Highly Urban/ Urban
1604,0,1,38.0,3,11.0,73677.0,Yes,0.0,z_No,z_F,Bachelors,z_Blue Collar,61,Commercial,20610.0,1,Minivan,no,0.0,0,No,0,10.0,z_Highly Rural/ Rural
1605,0,0,60.0,0,13.0,104827.0,No,324437.0,z_No,M,PhD,Doctor,14,Private,18420.0,10,Van,yes,0.0,0,No,0,20.0,Highly Urban/ Urban
1606,0,0,28.0,1,4.0,107827.0,Yes,0.0,z_No,z_F,Masters,z_Blue Collar,17,Private,15080.0,4,z_SUV,no,0.0,0,No,0,16.0,Highly Urban/ Urban
1608,0,0,43.0,0,0.0,61898.0946086055,No,0.0,z_No,M,<High School,Student,62,Commercial,11680.0,6,Pickup,no,0.0,0,No,0,1.0,z_Highly Rural/ Rural
1609,1,0,40.0,0,12.0,2289.0,No,0.0,z_No,z_F,z_High School,Student,21,Private,5730.0,4,z_SUV,no,0.0,0,Yes,2,1.0,Highly Urban/ Urban
1610,0,0,41.0,0,8.0,95166.0,No,306407.0,z_No,M,Bachelors,Professional,31,Private,26890.0,6,Minivan,no,0.0,0,No,0,8.0,Highly Urban/ Urban
1611,0,0,58.0,0,11.0,98263.0,No,296689.0,Yes,z_F,Masters,Lawyer,27,Private,31700.0,11,Van,no,38683.0,1,Yes,7,21.0,Highly Urban/ Urban
1613,0,0,28.0,4,13.0,1754.0,Yes,0.0,z_No,M,z_High School,Student,23,Commercial,5810.0,14,Pickup,yes,10118.0,2,No,0,1.0,Highly Urban/ Urban
1614,0,1,39.0,2,14.0,33915.0,No,161735.0,Yes,z_F,z_High School,z_Blue Collar,32,Commercial,15010.0,3,z_SUV,no,0.0,0,No,1,1.0,Highly Urban/ Urban
1615,1,0,58.0,0,6.0,123288.0,No,366424.0,z_No,z_F,PhD,Doctor,25,Private,7000.0,1,z_SUV,no,50111.0,4,Yes,1,17.0,Highly Urban/ Urban
1616,0,1,44.0,2,11.0,61898.0946086055,Yes,0.0,z_No,z_F,Bachelors,z_Blue Collar,55,Commercial,9830.0,6,z_SUV,no,0.0,0,No,0,9.0,z_Highly Rural/ Rural
1617,1,0,34.0,0,11.0,76847.0,No,0.0,z_No,M,Bachelors,Clerical,34,Private,15870.0,4,Minivan,no,0.0,0,No,2,8.0,z_Highly Rural/ Rural
1618,1,0,47.0,0,10.0,31456.0,No,148339.0,z_No,z_F,z_High School,Clerical,56,Private,1500.0,1,z_SUV,no,3278.0,1,No,3,1.0,z_Highly Rural/ Rural
1619,0,0,44.0,0,10.0,83339.0,No,269056.0,Yes,z_F,Masters,Lawyer,37,Private,15460.0,3,z_SUV,no,0.0,0,No,1,12.0,Highly Urban/ Urban
1620,1,0,59.0,0,13.0,111559.0,No,330596.0,Yes,z_F,Masters,z_Blue Collar,30,Commercial,29020.0,15,Pickup,no,1348.0,3,No,6,8.32832309502026,Highly Urban/ Urban
1621,0,0,57.0,0,14.0,101399.0,No,0.0,z_No,M,Masters,Lawyer,5,Private,14350.0,1,Minivan,yes,6739.0,3,No,0,14.0,Highly Urban/ Urban
1622,0,0,48.0,0,12.0,62681.0,No,230262.0,Yes,z_F,z_High School,Clerical,5,Private,11920.0,6,z_SUV,no,0.0,0,No,1,1.0,Highly Urban/ Urban
1623,0,0,39.0,2,10.499286363046581,16851.0,No,150516.0,Yes,M,z_High School,Professional,43,Commercial,5400.0,11,Pickup,yes,0.0,0,No,1,1.0,Highly Urban/ Urban
1624,0,0,59.0,3,17.0,44966.0,No,0.0,Yes,z_F,Bachelors,Student,40,Private,11900.0,1,Minivan,no,6606.0,1,No,2,12.0,Highly Urban/ Urban
1625,0,0,43.0,1,12.0,85494.0,Yes,154867.2897232688,z_No,M,Bachelors,z_Blue Collar,29,Commercial,15180.0,16,Minivan,no,0.0,0,No,0,11.0,z_Highly Rural/ Rural
1626,0,0,51.0,0,14.0,57775.0,No,216780.0,Yes,M,Bachelors,z_Blue Collar,46,Commercial,7780.0,10,Pickup,no,0.0,0,No,1,11.0,Highly Urban/ Urban
1628,0,0,53.0,0,10.0,222372.0,No,0.0,z_No,z_F,Masters,Lawyer,60,Private,37140.0,1,Sports Car,no,0.0,0,No,0,7.0,Highly Urban/ Urban
1631,0,0,48.0,0,13.0,92111.0,No,273337.0,Yes,M,Masters,Lawyer,26,Private,13190.0,1,Minivan,yes,0.0,0,No,0,14.0,Highly Urban/ Urban
1632,0,0,39.0,3,14.0,32966.0,Yes,0.0,z_No,M,z_High School,z_Blue Collar,59,Commercial,7750.0,25,Minivan,no,0.0,0,No,0,1.0,z_Highly Rural/ Rural
1633,0,0,47.0,0,5.0,31957.0,No,156435.0,Yes,M,z_High School,Clerical,24,Private,9400.0,6,Minivan,yes,0.0,0,Yes,0,6.0,Highly Urban/ Urban
1634,0,0,36.0,0,10.0,62833.0,No,154867.2897232688,Yes,z_F,Bachelors,z_Blue Collar,49,Commercial,19800.0,4,z_SUV,no,0.0,0,No,2,8.32832309502026,Highly Urban/ Urban
1635,1,0,44.0,2,10.499286363046581,27039.0,Yes,0.0,z_No,z_F,z_High School,Student,49,Private,11270.0,6,z_SUV,no,2189.0,2,No,5,7.0,Highly Urban/ Urban
1636,0,0,31.0,4,10.0,104421.0,Yes,0.0,z_No,M,Bachelors,z_Blue Collar,33,Commercial,21070.0,1,Minivan,no,0.0,0,No,0,11.0,Highly Urban/ Urban
1637,1,0,36.0,0,9.0,110873.0,No,0.0,z_No,M,Bachelors,z_Blue Collar,50,Commercial,24730.0,6,Panel Truck,yes,0.0,0,No,0,7.0,Highly Urban/ Urban
1638,0,0,31.0,3,13.0,93540.0,No,154867.2897232688,Yes,z_F,z_High School,z_Blue Collar,39,Commercial,13950.0,6,z_SUV,no,1150.0,2,No,3,8.0,Highly Urban/ Urban
1639,0,0,44.0,0,0.0,0.0,No,0.0,Yes,M,z_High School,Student,50,Commercial,17700.0,10,Van,no,0.0,0,No,0,12.0,Highly Urban/ Urban
1642,0,0,35.0,0,10.0,82082.0,No,263271.0,Yes,M,PhD,Doctor,36,Private,15280.0,1,Minivan,no,21014.0,2,Yes,6,12.0,Highly Urban/ Urban
1643,0,0,33.0,1,12.0,23514.0,No,105036.0,Yes,z_F,z_High School,Clerical,27,Private,7920.0,7,z_SUV,no,0.0,0,No,0,7.0,z_Highly Rural/ Rural
1644,0,0,40.0,0,11.0,41477.0,No,185913.0,z_No,z_F,PhD,Home Maker,16,Private,16710.0,4,Minivan,no,0.0,0,No,0,1.0,Highly Urban/ Urban
1645,0,0,52.0,0,14.0,74422.0,No,247486.0,Yes,z_F,Bachelors,Professional,5,Commercial,22490.0,9,Pickup,no,0.0,0,No,0,7.0,Highly Urban/ Urban
1647,0,0,41.0,1,12.0,37282.0,Yes,0.0,z_No,z_F,Bachelors,Professional,41,Private,9330.0,7,z_SUV,no,7037.0,2,No,5,14.0,Highly Urban/ Urban
1648,1,1,39.0,2,13.0,31138.0,No,160202.0,Yes,z_F,z_High School,Clerical,38,Private,9830.0,1,z_SUV,no,4582.0,2,No,5,1.0,Highly Urban/ Urban
1649,0,0,37.0,0,11.0,106784.0,No,290821.0,Yes,z_F,Masters,Lawyer,22,Private,12410.0,6,z_SUV,no,0.0,0,No,0,14.0,Highly Urban/ Urban
1650,1,0,38.0,3,11.0,13337.0,Yes,106321.0,z_No,z_F,z_High School,Clerical,53,Private,6920.0,11,z_SUV,no,0.0,0,No,0,1.0,z_Highly Rural/ Rural
1651,0,0,43.0,0,12.0,128223.0,No,0.0,z_No,M,Masters,z_Blue Collar,68,Commercial,21890.0,9,Van,yes,0.0,0,No,0,15.0,z_Highly Rural/ Rural
1652,1,0,44.79031269160024,2,0.0,0.0,Yes,0.0,z_No,z_F,<High School,Home Maker,23,Private,14500.0,1,z_SUV,yes,0.0,0,No,0,6.0,Highly Urban/ Urban
1653,1,0,35.0,1,12.0,75165.0,No,253077.0,Yes,z_F,Masters,Manager,32,Private,11290.0,6,Sports Car,no,0.0,0,No,1,14.0,Highly Urban/ Urban
1654,0,0,41.0,0,11.0,46294.0,No,182167.0,z_No,M,Bachelors,Professional,30,Commercial,11960.0,1,Pickup,yes,5759.0,2,No,2,8.0,Highly Urban/ Urban
1655,1,0,49.0,0,7.0,225083.0,No,0.0,z_No,z_F,PhD,z_Blue Collar,53,Commercial,50970.0,11,Panel Truck,no,6364.0,1,No,5,14.0,Highly Urban/ Urban
1656,0,0,44.0,0,6.0,38002.0,No,185665.0,z_No,z_F,Bachelors,Clerical,30,Private,10690.0,9,Minivan,no,2513.0,3,No,4,8.0,Highly Urban/ Urban
1657,1,1,36.0,2,14.0,118971.0,Yes,0.0,z_No,M,Bachelors,Manager,44,Commercial,31390.0,1,Panel Truck,yes,0.0,0,No,0,14.0,Highly Urban/ Urban
1658,0,0,45.0,2,8.0,72245.0,No,241795.0,Yes,z_F,Bachelors,Professional,28,Private,13220.0,4,z_SUV,no,0.0,0,No,2,11.0,z_Highly Rural/ Rural
1659,0,0,42.0,3,10.0,61438.0,No,222008.0,Yes,M,Bachelors,Professional,25,Private,16060.0,1,Minivan,yes,0.0,0,No,0,13.0,Highly Urban/ Urban
1660,0,0,43.0,0,11.0,87247.0,No,0.0,z_No,z_F,Masters,Lawyer,21,Private,20900.0,13,z_SUV,no,0.0,0,No,0,18.0,Highly Urban/ Urban
1661,0,0,53.0,0,0.0,0.0,No,0.0,z_No,M,<High School,Student,53,Private,6800.0,6,Pickup,yes,31796.0,3,Yes,0,1.0,z_Highly Rural/ Rural
1663,0,0,51.0,0,0.0,0.0,No,0.0,Yes,z_F,z_High School,Student,30,Commercial,12360.0,7,z_SUV,no,0.0,0,No,2,1.0,z_Highly Rural/ Rural
1664,0,0,46.0,0,11.0,111580.0,No,291785.0,Yes,M,Bachelors,z_Blue Collar,86,Commercial,6100.0,1,Pickup,yes,0.0,0,No,1,8.32832309502026,z_Highly Rural/ Rural
1665,1,0,54.0,0,0.0,0.0,No,67587.0,Yes,z_F,PhD,Home Maker,28,Private,6900.0,1,z_SUV,no,856.0,1,No,4,13.0,Highly Urban/ Urban
1666,0,0,33.0,1,0.0,0.0,No,154867.2897232688,Yes,z_F,z_High School,Home Maker,27,Private,11300.0,4,Pickup,no,0.0,0,No,0,8.0,z_Highly Rural/ Rural
1667,0,0,45.0,1,10.499286363046581,55983.0,Yes,0.0,z_No,z_F,Bachelors,Manager,31,Private,7240.0,6,Sports Car,no,0.0,0,No,0,10.0,Highly Urban/ Urban
1669,0,1,44.0,3,0.0,0.0,No,0.0,Yes,z_F,z_High School,Student,57,Private,7900.0,6,z_SUV,no,0.0,0,Yes,1,11.0,Highly Urban/ Urban
1670,1,0,56.0,0,16.0,44940.0,No,196891.0,Yes,z_F,<High School,z_Blue Collar,39,Private,15320.0,1,z_SUV,no,0.0,0,No,2,9.0,Highly Urban/ Urban
1674,1,0,28.0,3,14.0,10518.0,Yes,107763.0,z_No,z_F,z_High School,Home Maker,50,Private,5800.0,4,z_SUV,no,6755.0,1,No,1,8.32832309502026,Highly Urban/ Urban
1675,0,0,41.0,0,11.0,23649.0,No,77718.0,Yes,z_F,<High School,z_Blue Collar,10,Private,7960.0,1,Sports Car,no,0.0,0,No,0,3.0,Highly Urban/ Urban
1676,0,0,33.0,1,12.0,7024.0,No,60073.0,Yes,z_F,Bachelors,Home Maker,31,Commercial,22300.0,4,Pickup,no,0.0,0,No,0,13.0,z_Highly Rural/ Rural
1677,1,0,28.0,1,0.0,0.0,Yes,63142.0,z_No,M,z_High School,Student,42,Commercial,9750.0,9,Pickup,yes,0.0,0,No,2,10.0,Highly Urban/ Urban
1678,0,0,53.0,0,12.0,79834.0,No,253064.0,Yes,z_F,Bachelors,z_Blue Collar,44,Commercial,15180.0,1,Minivan,no,2053.0,1,No,4,12.0,Highly Urban/ Urban
1679,1,0,43.0,0,15.0,61898.0946086055,No,229294.0,Yes,z_F,z_High School,z_Blue Collar,18,Commercial,20850.0,6,Minivan,no,7946.0,1,No,0,1.0,Highly Urban/ Urban
1680,0,0,51.0,0,9.0,68059.0,No,243423.0,Yes,M,Masters,Manager,35,Commercial,6600.0,4,Pickup,no,0.0,0,Yes,1,18.0,Highly Urban/ Urban
1681,0,0,43.0,0,10.0,114966.0,No,310472.0,Yes,M,Masters,Professional,38,Commercial,20960.0,11,Van,no,0.0,0,No,1,13.0,z_Highly Rural/ Rural
1682,0,0,47.0,0,10.0,220533.0,No,591993.0,Yes,M,PhD,z_Blue Collar,35,Commercial,32400.0,19,Panel Truck,no,0.0,0,No,0,19.0,Highly Urban/ Urban
1683,0,0,51.0,0,13.0,46709.0,No,170183.0,Yes,z_F,z_High School,Clerical,28,Private,26080.0,6,Minivan,no,0.0,0,No,1,5.0,z_Highly Rural/ Rural
1684,1,0,57.0,0,9.0,51060.0,No,154867.2897232688,z_No,M,Bachelors,Student,35,Private,33220.0,1,Minivan,yes,4678.0,3,No,2,8.0,Highly Urban/ Urban
1685,1,0,33.0,2,12.0,45893.0,Yes,189452.0,z_No,M,z_High School,Professional,54,Commercial,18990.0,1,Van,yes,29781.0,3,Yes,0,6.0,Highly Urban/ Urban
1687,0,0,48.0,0,12.0,141508.0,No,428576.0,Yes,z_F,PhD,Doctor,12,Private,20450.0,10,z_SUV,no,0.0,0,Yes,2,8.32832309502026,Highly Urban/ Urban
1689,0,0,35.0,1,11.0,74315.0,Yes,225301.0,z_No,M,Masters,Professional,60,Commercial,24230.0,1,Panel Truck,yes,0.0,0,No,0,10.0,Highly Urban/ Urban
1690,1,0,27.0,1,13.0,43083.0,No,138247.0,Yes,z_F,<High School,Clerical,29,Commercial,20950.0,6,Pickup,no,5737.0,3,No,9,1.0,Highly Urban/ Urban
1691,1,0,37.0,0,10.499286363046581,109732.0,No,0.0,z_No,z_F,Masters,Lawyer,70,Private,11740.0,1,z_SUV,no,9883.0,1,No,3,14.0,Highly Urban/ Urban
1692,0,0,47.0,0,10.499286363046581,14206.0,No,89120.0,Yes,M,Masters,Lawyer,18,Private,15070.0,6,Minivan,no,0.0,0,No,0,12.0,Highly Urban/ Urban
1693,1,0,50.0,0,15.0,41447.0,No,148330.0,Yes,z_F,Bachelors,Manager,14,Private,6500.0,1,z_SUV,no,0.0,0,No,0,7.0,Highly Urban/ Urban
1694,0,0,29.0,0,9.0,85413.0,No,0.0,z_No,M,Bachelors,Manager,27,Private,13920.0,11,Minivan,yes,4189.0,3,No,3,11.0,Highly Urban/ Urban
1695,0,0,35.0,2,15.0,45893.0,No,89889.0,Yes,z_F,<High School,z_Blue Collar,46,Private,9590.0,1,z_SUV,no,0.0,0,No,0,8.32832309502026,z_Highly Rural/ Rural
1697,1,0,51.0,0,8.0,61898.0946086055,No,96484.0,z_No,z_F,Masters,Home Maker,37,Private,9530.0,1,z_SUV,no,0.0,0,Yes,0,17.0,Highly Urban/ Urban
1698,1,0,50.0,0,6.0,55230.0,No,0.0,z_No,z_F,z_High School,z_Blue Collar,36,Commercial,24950.0,5,Pickup,no,4997.0,3,No,7,6.0,Highly Urban/ Urban
1699,1,0,47.0,0,10.0,129926.0,No,0.0,z_No,M,Masters,Professional,62,Commercial,19190.0,1,Van,yes,0.0,0,No,2,9.0,Highly Urban/ Urban
1700,0,0,36.0,0,13.0,38946.0,No,201598.0,Yes,M,<High School,Clerical,24,Private,21200.0,10,Van,yes,38892.0,3,Yes,3,5.0,Highly Urban/ Urban
1702,0,0,54.0,0,12.0,103910.0,No,314938.0,Yes,M,Masters,Lawyer,19,Private,30250.0,10,Minivan,yes,0.0,0,No,0,17.0,Highly Urban/ Urban
1703,1,0,36.0,1,12.0,26587.0,Yes,0.0,z_No,z_F,<High School,Clerical,45,Private,5100.0,7,z_SUV,no,4936.0,1,No,5,1.0,Highly Urban/ Urban
1704,1,0,34.0,1,13.0,79957.0,No,172461.0,Yes,M,z_High School,z_Blue Collar,47,Commercial,12510.0,12,Minivan,no,0.0,0,No,0,9.0,Highly Urban/ Urban
1705,0,0,53.0,0,7.0,3528.0,No,73903.0,Yes,z_F,z_High School,Home Maker,54,Private,7150.0,10,z_SUV,no,0.0,0,No,2,7.0,Highly Urban/ Urban
1706,0,0,41.0,3,8.0,69129.0,Yes,0.0,z_No,z_F,Bachelors,Manager,8,Private,11580.0,4,z_SUV,no,27127.0,3,No,1,8.32832309502026,Highly Urban/ Urban
1709,0,1,39.0,1,14.0,35865.0,No,143215.0,Yes,M,z_High School,Professional,38,Private,22780.0,1,Minivan,yes,0.0,0,No,0,1.0,Highly Urban/ Urban
1710,0,2,35.0,2,11.0,18570.0,No,134014.0,Yes,M,z_High School,Clerical,18,Private,14290.0,1,Minivan,yes,0.0,0,No,2,10.0,Highly Urban/ Urban
1711,0,2,54.0,2,15.0,106746.0,No,310093.0,Yes,z_F,z_High School,z_Blue Collar,56,Commercial,17570.0,4,Minivan,no,0.0,0,No,2,5.0,z_Highly Rural/ Rural
1712,0,0,62.0,2,13.0,25426.0,Yes,0.0,z_No,M,z_High School,Clerical,35,Private,10240.0,6,z_SUV,no,6706.0,2,No,3,1.0,Highly Urban/ Urban
1714,1,0,57.0,0,15.0,44108.0,No,0.0,z_No,z_F,z_High School,Student,45,Commercial,21720.0,4,z_SUV,no,0.0,0,No,2,1.0,Highly Urban/ Urban
1716,0,0,43.0,2,11.0,78812.0,Yes,266497.0,z_No,M,Bachelors,z_Blue Collar,36,Commercial,13680.0,7,Minivan,no,0.0,0,No,2,1.0,Highly Urban/ Urban
1718,0,0,48.0,0,14.0,42455.0,No,154867.2897232688,Yes,M,z_High School,Clerical,48,Commercial,26460.0,6,Panel Truck,yes,4755.0,2,No,3,1.0,z_Highly Rural/ Rural
1719,0,0,51.0,0,12.0,170537.0,No,444387.0,Yes,z_F,PhD,Manager,35,Private,15000.0,4,Sports Car,no,0.0,0,No,1,14.0,Highly Urban/ Urban
1720,1,0,39.0,0,11.0,63433.0,No,236857.0,z_No,M,Bachelors,z_Blue Collar,30,Commercial,6610.0,10,Pickup,no,0.0,0,No,1,8.32832309502026,Highly Urban/ Urban
1722,0,0,54.0,0,14.0,129566.0,No,352586.0,Yes,z_F,Masters,Lawyer,57,Private,6900.0,1,Sports Car,no,15686.0,1,No,4,17.0,Highly Urban/ Urban
1723,0,0,51.0,0,7.0,44481.0,No,226940.0,Yes,z_F,z_High School,Clerical,30,Private,7990.0,3,Minivan,no,0.0,0,No,0,1.0,z_Highly Rural/ Rural
1726,0,0,48.0,0,11.0,141297.0,No,0.0,z_No,M,Masters,z_Blue Collar,31,Commercial,22550.0,4,Panel Truck,no,0.0,0,No,1,10.0,Highly Urban/ Urban
1727,0,0,47.0,0,10.0,172981.0,No,451118.0,Yes,M,Bachelors,Professional,42,Commercial,30110.0,6,Panel Truck,yes,0.0,0,No,0,13.0,z_Highly Rural/ Rural
1728,0,0,17.0,1,0.0,61898.0946086055,Yes,154867.2897232688,z_No,M,<High School,Student,32,Private,17830.0,1,Van,yes,4373.0,2,No,8,4.0,z_Highly Rural/ Rural
1729,0,0,50.0,0,8.0,32200.0,No,190439.0,Yes,M,z_High School,Clerical,13,Private,16030.0,1,Minivan,no,0.0,0,No,0,7.0,Highly Urban/ Urban
1732,1,0,32.0,1,2.0,50522.0,Yes,0.0,z_No,z_F,Bachelors,z_Blue Collar,15,Commercial,9750.0,17,z_SUV,no,6691.0,2,No,6,9.0,Highly Urban/ Urban
1733,0,0,46.0,0,7.0,46247.0,No,186682.0,z_No,z_F,Bachelors,Professional,58,Private,10720.0,4,z_SUV,no,0.0,0,Yes,0,8.32832309502026,Highly Urban/ Urban
1735,0,0,44.0,0,10.0,66642.0,No,264360.0,z_No,M,z_High School,z_Blue Collar,28,Commercial,15570.0,1,Minivan,yes,0.0,0,No,0,6.0,Highly Urban/ Urban
1736,1,0,34.0,1,14.0,9699.0,No,107132.0,Yes,z_F,<High School,Clerical,39,Private,18120.0,4,Minivan,no,6801.0,1,No,3,7.0,Highly Urban/ Urban
1737,0,0,44.0,0,10.0,91652.0,No,0.0,z_No,z_F,Masters,Manager,44,Private,25290.0,10,z_SUV,no,4653.0,1,No,0,17.0,Highly Urban/ Urban
1738,0,0,48.0,0,9.0,201768.0,No,0.0,z_No,z_F,Masters,Manager,37,Private,31780.0,7,Minivan,no,0.0,0,No,0,19.0,Highly Urban/ Urban
1739,1,0,36.0,1,8.0,40339.0,Yes,173090.0,z_No,M,Bachelors,z_Blue Collar,41,Commercial,22200.0,6,Van,no,0.0,0,No,3,8.0,Highly Urban/ Urban
1741,0,0,46.0,0,13.0,113386.0,No,322467.0,Yes,z_F,Masters,Professional,36,Private,21070.0,10,z_SUV,no,0.0,0,No,0,13.0,Highly Urban/ Urban
1742,0,0,46.0,0,14.0,61898.0946086055,No,0.0,z_No,M,z_High School,Manager,8,Commercial,11980.0,4,Pickup,yes,7109.0,2,No,4,8.0,Highly Urban/ Urban
1743,0,2,41.0,3,14.0,75501.0,No,262109.0,Yes,M,Bachelors,Manager,16,Private,15380.0,1,Minivan,no,3960.0,4,No,3,10.0,Highly Urban/ Urban
1744,1,0,40.0,0,12.0,4716.0,No,121325.0,Yes,M,z_High School,Student,45,Private,6410.0,1,Pickup,yes,46652.0,2,Yes,1,1.0,Highly Urban/ Urban
1745,0,0,49.0,0,12.0,56739.0,No,207006.0,Yes,z_F,z_High School,Clerical,32,Private,19540.0,7,Minivan,no,0.0,0,No,1,1.0,Highly Urban/ Urban
